geo,Region,Renewables_Share,Import_Dependency
HU,Eastern Europe,15.128,0.0
HU,Eastern Europe,15.128,0.0
HU,Eastern Europe,15.128,0.0
HU,Eastern Europe,15.128,64.206
IE,Western Europe,13.017,127.154
IE,Western Europe,13.017,75.214
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,130.932
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,73.935
IE,Western Europe,13.017,100.252
IE,Western Europe,13.017,102.549
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,0.0
IE,Western Europe,13.017,79.086
IT,Southern Europe,18.826,102.438
IT,Southern Europe,18.826,75.243
IT,Southern Europe,18.826,101.199
IT,Southern Europe,18.826,102.754
IT,Southern Europe,18.826,0.0
IT,Southern Europe,18.826,100.0
IT,Southern Europe,18.826,99.233
IT,Southern Europe,18.826,92.931
IT,Southern Europe,18.826,94.129
IT,Southern Europe,18.826,0.0
IT,Southern Europe,18.826,0.0
IT,Southern Europe,18.826,0.0
IT,Southern Europe,18.826,79.49
LT,Eastern Europe,29.599,127.752
LT,Eastern Europe,29.599,0.0
LT,Eastern Europe,29.599,0.0
LT,Eastern Europe,29.599,132.108
LT,Eastern Europe,29.599,109.052
LT,Eastern Europe,29.599,100.0
LT,Eastern Europe,29.599,101.216
LT,Eastern Europe,29.599,98.826
LT,Eastern Europe,29.599,99.234
LT,Eastern Europe,29.599,0.0
LT,Eastern Europe,29.599,-3.113
LT,Eastern Europe,29.599,0.0
LT,Eastern Europe,29.599,72.434
LU,Western Europe,14.286,98.49
LU,Western Europe,14.286,100.0
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,98.201
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,100.0
LU,Western Europe,14.286,99.706
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,0.0
LU,Western Europe,14.286,91.483
LV,Eastern Europe,43.786,193.199
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,195.027
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,99.777
LV,Eastern Europe,43.786,101.541
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,-4.581
LV,Eastern Europe,43.786,0.0
LV,Eastern Europe,43.786,38.213
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,100.157
MT,Southern Europe,14.04,100.746
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,0.0
MT,Southern Europe,14.04,98.965
NL,Western Europe,15.291,102.142
NL,Western Europe,15.291,100.0
NL,Western Europe,15.291,98.91
NL,Western Europe,15.291,105.393
NL,Western Europe,15.291,0.0
NL,Western Europe,15.291,100.0
NL,Western Europe,15.291,64.613
NL,Western Europe,15.291,107.379
NL,Western Europe,15.291,103.725
NL,Western Europe,15.291,102.602
NL,Western Europe,15.291,0.0
NL,Western Europe,15.291,0.0
NL,Western Europe,15.291,80.219
NO,Nordics,76.782,93.272
NO,Nordics,76.782,0.0
NO,Nordics,76.782,0.0
NO,Nordics,76.782,89.321
NO,Nordics,76.782,0.0
NO,Nordics,76.782,0.0
NO,Nordics,76.782,-2608.548
NO,Nordics,76.782,-1094.978
NO,Nordics,76.782,-1104.024
NO,Nordics,76.782,0.0
NO,Nordics,76.782,0.0
NO,Nordics,76.782,0.0
NO,Nordics,76.782,-699.955
PL,Eastern Europe,16.644,7.964
PL,Eastern Europe,16.644,99.104
PL,Eastern Europe,16.644,-1.849
PL,Eastern Europe,16.644,28.114
PL,Eastern Europe,16.644,0.0
PL,Eastern Europe,16.644,0.478
PL,Eastern Europe,16.644,81.224
PL,Eastern Europe,16.644,98.359
PL,Eastern Europe,16.644,98.006
PL,Eastern Europe,16.644,0.0
PL,Eastern Europe,16.644,0.0
PL,Eastern Europe,16.644,0.0
PL,Eastern Europe,16.644,46.109
PT,Southern Europe,34.675,107.448
PT,Southern Europe,34.675,108.767
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,98.712
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,103.999
PT,Southern Europe,34.675,98.682
PT,Southern Europe,34.675,99.232
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,0.0
PT,Southern Europe,34.675,71.274
RO,Eastern Europe,24.229,19.956
RO,Eastern Europe,24.229,69.25
RO,Eastern Europe,24.229,102.474
RO,Eastern Europe,24.229,0.0
RO,Eastern Europe,24.229,96.271
RO,Eastern Europe,24.229,-1.148
RO,Eastern Europe,24.229,18.128
RO,Eastern Europe,24.229,72.731
RO,Eastern Europe,24.229,75.328
RO,Eastern Europe,24.229,-24.886
RO,Eastern Europe,24.229,93.705
RO,Eastern Europe,24.229,0.0
RO,Eastern Europe,24.229,32.423
SE,Nordics,66.287,104.724
SE,Nordics,66.287,0.0
SE,Nordics,66.287,92.319
SE,Nordics,66.287,102.838
SE,Nordics,66.287,0.0
SE,Nordics,66.287,0.0
SE,Nordics,66.287,102.487
SE,Nordics,66.287,104.425
SE,Nordics,66.287,102.552
SE,Nordics,66.287,0.0
SE,Nordics,66.287,4.829
SE,Nordics,66.287,0.0
SE,Nordics,66.287,26.961
SI,Southern Europe,25.002,28.135
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,95.658
SI,Southern Europe,25.002,140.386
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,99.459
SI,Southern Europe,25.002,98.427
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,0.0
SI,Southern Europe,25.002,53.91
SK,Eastern Europe,17.482,96.073
SK,Eastern Europe,17.482,97.802
SK,Eastern Europe,17.482,100.766
SK,Eastern Europe,17.482,102.734
SK,Eastern Europe,17.482,0.0
SK,Eastern Europe,17.482,48.199
SK,Eastern Europe,17.482,137.285
SK,Eastern Europe,17.482,102.983
SK,Eastern Europe,17.482,101.148
SK,Eastern Europe,17.482,0.0
SK,Eastern Europe,17.482,0.0
SK,Eastern Europe,17.482,0.0
SK,Eastern Europe,17.482,69.595
